wikidata_id,match_probability,matched_name,matched_field,gc_orgID,harmonized_name,nom_harmonise,legal_title,appellation_legale,preferred_name,nom_prefere,lead_department,ministere_responsable,abbreviation,abreviation,FAA_LGFP,status_statut,end_date_fin
Q85846156,100,Indigenous Services Canada,harmonized_name,2243.0,Indigenous Services Canada,Services aux Autochtones Canada,Department of Indigenous Services,Ministère des Services aux Autochtones,Indigenous Services Canada,Services aux Autochtones Canada,Indigenous Services Canada,Services aux Autochtones Canada,ISC,SAC,1.0,a,
Q2826616,100,Atlantic Canada Opportunities Agency,harmonized_name,2244.0,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,,,Minister of Justice and Attorney General of Canada and Minister responsible for the Atlantic Canada Opportunities Agency,Ministre de la Justice et procureur général du Canada et ministre responsable de l'Agence de promotion économique du Canada atlantique,ACOA,APECA,1.1,a,
Q349602,100,Impact Assessment Agency of Canada,harmonized_name,2245.0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,Environment and Climate Change Canada,Environnement et Changement climatique Canada,IAAC,AEIC,1.1,a,
Q558436,100,Canadian Grain Commission,harmonized_name,2246.0,Canadian Grain Commission,Commission canadienne des grains,Canadian Grain Commission,Commission canadienne des grains,,,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,CGC,CCG,1.1,a,
Q2986411,100,Canadian Human Rights Commission,harmonized_name,2247.0,Canadian Human Rights Commission,Commission canadienne des droits de la personne,Canadian Human Rights Commission,Commission canadienne des droits de la personne,,,Department of Justice Canada,Ministère de la Justice Canada,CHRC,CCDP,1.1,a,
Q5030190,100,Canadian Intergovernmental Conference Secretariat,harmonized_name,2248.0,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes,,,Privy Council Office,Bureau du Conseil privé,CICS,SCIC,1.1,a,
,0,,,2249.0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency,Ministre des Affaires du Nord et de l'Arctique et ministre responsable de l'Agence canadienne de développement économique du Nord,CanNor,CanNor,1.1,a,
Q1032405,100,Canadian Security Intelligence Service,harmonized_name,2250.0,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Public Safety Canada,Sécurité publique Canada,CSIS,SCRS,1.1,a,
Q212227,100,Canadian Space Agency,harmonized_name,2251.0,Canadian Space Agency,Agence spatiale canadienne,Canadian Space Agency,Agence spatiale canadienne,Canadian Space Agency,Agence spatiale canadienne,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",CSA,ASC,1.1,a,
Q5030630,100,Canadian Transportation Agency,harmonized_name,2252.0,Canadian Transportation Agency,Office des transports du Canada,Canadian Transportation Agency,Office des transports du Canada,Canadian Transportation Agency,Office des transports du Canada,Transport Canada,Transports Canada,CTA,OTC,1.1,a,
Q597935,100,Communications Security Establishment,legal_title,2253.0,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,Communications Security Establishment,Centre de la sécurité des télécommunications,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,National Defence,Défense nationale,CSE,CST,1.1,a,
Q2986597,94,Copyright Board Canada,harmonized_name,2254.0,Copyright Board Canada,Commission du droit d'auteur Canada,Copyright Board,Commission du droit d'auteur,Copyright Board Canada,Commission du droit d'auteur Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",CB,CDA,1.1,a,
Q3480093,100,Correctional Service of Canada,legal_title,2255.0,Correctional Service Canada,Service correctionnel Canada,Correctional Service of Canada,Service correctionnel du Canada,Correctional Service Canada,Service correctionnel Canada,Public Safety Canada,Sécurité publique Canada,CSC,SCC,1.1,a,
,0,,,2256.0,Courts Administration Service,Service administratif des tribunaux judiciaires,Courts Administration Service,Service administratif des tribunaux judiciaires,Courts Administration Service,Service administratif des tribunaux judiciaires,Department of Justice Canada,Ministère de la Justice Canada,CAS,SATJ,1.1,a,
Q2826593,100,Economic Development Agency of Canada for the Regions of Quebec,legal_title,2257.0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,Minister of Industry and Minister responsible for Canada Economic Development for Quebec Regions,Ministre de l'Industrie et ministre responsable de Développement économique Canada pour les régions du Québec,CED,DEC,1.1,a,
,0,,,2258.0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,Minister of Artificial Intelligence and Digital Innovation and Minister responsible for the Federal Economic Development Agency for Southern Ontario,Ministre de l'Intelligence artificielle et de l'Innovation numérique et ministre responsable de l'Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,1.1,a,
Q2826603,100,Financial Consumer Agency of Canada,harmonized_name,2259.0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,Department of Finance Canada,Ministère des Finances Canada,FCAC,ACFC,1.1,a,
Q5449682,100,Financial Transactions and Reports Analysis Centre of Canada,harmonized_name,2260.0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,Department of Finance Canada,Ministère des Finances Canada,FINTRAC,CANAFE,1.1,a,
Q2986473,100,Immigration and Refugee Board of Canada,harmonized_name,2261.0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",IRB,CISR,1.1,a,
Q913250,100,Library and Archives Canada,harmonized_name,2262.0,Library and Archives Canada,Bibliothèque et Archives Canada,Library and Archives of Canada,Bibliothèque et Archives du Canada,Library and Archives Canada,Bibliothèque et Archives Canada,Canadian Heritage,Patrimoine canadien,LAC,BAC,1.1,a,
,0,,,2263.0,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,National Defence,Défense nationale,MGERC,CEEGM,1.1,a,
,0,,,2264.0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,National Defence,Défense nationale,MPCC,CPPM,1.1,a,
,0,,,2265.0,Farm Products Council of Canada,Conseil des produits agricoles du Canada,National Farm Products Council,Conseil national des produits agricoles,Farm Products Council of Canada,Conseil des produits agricoles du Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,FPCC,CPAC,1.1,a,
Q1530721,100,National Film Board,harmonized_name,2266.0,National Film Board,Office national du film,National Film Board,Office national du film,,,Canadian Heritage,Patrimoine canadien,NFB,ONF,1.1,a,
Q7139405,100,Parole Board of Canada,harmonized_name,2267.0,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Parole Board of Canada,Commission des libérations conditionnelles du Canada,Public Safety Canada,Sécurité publique Canada,PBC,CLCC,1.1,a,
,0,,,2268.0,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,Northern Pipeline Agency,Administration du pipe-line du Nord,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,Natural Resources Canada,Ressources naturelles Canada,NPA,APN,1.1,a,
,0,,,2269.0,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada","Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités","Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada","Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,1.0,a,
,0,,,2270.0,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,Office of the Auditor General,Bureau du vérificateur général,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,Department of Finance Canada,Ministère des Finances Canada,OAG,BVG,1.1,a,
Q3586687,100,Elections Canada,harmonized_name,2271.0,Elections Canada,Élections Canada,Office of the Chief Electoral Officer,Bureau du directeur général des élections,,,,,elections,elections,1.1,a,
,0,,,2272.0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,Office of the Commissioner for Federal Judicial Affairs,Commissariat à la magistrature fédérale,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,Department of Justice Canada,Ministère de la Justice Canada,FJA,CMF,1.1,a,
,0,,,2273.0,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,Office of the Commissioner of Lobbying,Commissariat au lobbying,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,OCL,CAL,1.1,a,
Q481371,100,Office of the Commissioner of Official Languages,harmonized_name,2274.0,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,,,Privy Council Office,Bureau du Conseil privé,OCOL,CLO,1.1,a,
,0,,,2275.0,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,,,Privy Council Office,Bureau du Conseil privé,,,1.1,a,
,0,,,2276.0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,Office of the Correctional Investigator of Canada,Bureau de l'enquêteur correctionnel du Canada,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,Public Safety Canada,Sécurité publique Canada,OCI,BEC,1.1,a,
Q7257506,100,Public Prosecution Service of Canada,harmonized_name,2277.0,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,Department of Justice Canada,Ministère de la Justice Canada,PPSC,SPPC,1.1,a,
,0,,,2278.0,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,Privy Council Office,Bureau du Conseil privé,OSGG,BSGG,1.1,a,
,0,,,2279.0,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,PSIC,ISPC,1.1,a,
Q7079419,100,Office of the Superintendent of Financial Institutions,legal_title,2280.0,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,Department of Finance Canada,Ministère des Finances Canada,OSFI,BSIF,1.1,a,
,0,,,2281.0,Office of the Information Commissioner,Commissariat à l'information au Canada,Office of the Information Commissioner,Commissariat à l'information au Canada,,,Department of Justice Canada,Ministère de la Justice Canada,,,4.0,a,
Q90571444,100,Office of the Privacy Commissioner of Canada,harmonized_name,2282.0,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,,,Department of Justice Canada,Ministère de la Justice Canada,,,4.0,a,
,0,,,2283.0,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,Health Canada,Santé Canada,PMPRB,CEPMB,1.1,a,
Q24168,100,Privy Council Office,harmonized_name,2284.0,Privy Council Office,Bureau du Conseil privé,Privy Council Office,Bureau du Conseil privé,Privy Council Office,Bureau du Conseil privé,Privy Council Office,Bureau du Conseil privé,PCO,BCP,1.1,a,
Q2826604,100,Public Health Agency of Canada,harmonized_name,2285.0,Public Health Agency of Canada,Agence de la santé publique du Canada,Public Health Agency of Canada,Agence de la santé publique du Canada,Public Health Agency of Canada,Agence de la santé publique du Canada,Health Canada,Santé Canada,PHAC,ASPC,1.1,a,
Q3644969,100,Public Service Commission of Canada,harmonized_name,2286.0,Public Service Commission of Canada,Commission de la fonction publique du Canada,Public Service Commission,Commission de la fonction publique,Public Service Commission of Canada,Commission de la fonction publique du Canada,Privy Council Office,Bureau du Conseil privé,PSC,CFP,1.1,a,
,0,,,2287.0,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada,,,Department of Justice Canada,Ministère de la Justice Canada,SCC,CSC,1.1,a,
Q335175,100,Royal Canadian Mounted Police,harmonized_name,2288.0,Royal Canadian Mounted Police,Gendarmerie royale du Canada,Royal Canadian Mounted Police,Gendarmerie royale du Canada,,,Public Safety Canada,Sécurité publique Canada,RCMP,GRC,1.1,a,
,0,,,2289.0,RCMP External Review Committee,Comité externe d'examen de la GRC,Royal Canadian Mounted Police External Review Committee,Comité externe d'examen de la Gendarmerie royale du Canada,RCMP External Review Committee,Comité externe d'examen de la GRC,Public Safety Canada,Sécurité publique Canada,ERC,CEE,1.1,a,
,0,,,2290.0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,Public Safety Canada,Sécurité publique Canada,CRCC,CCETP,1.1,a,
,0,,,2291.0,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,Privy Council Office,Bureau du Conseil privé,,,1.1,a,
Q28162755,100,Shared Services Canada,harmonized_name,2292.0,Shared Services Canada,Services partagés Canada,Shared Services Canada,Services partagés Canada,Shared Services Canada,Services partagés Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SSC,SPC,1.1,a,
Q1155740,100,Statistics Canada,harmonized_name,2293.0,Statistics Canada,Statistique Canada,Statistics Canada,Statistique Canada,Statistics Canada,Statistique Canada,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",StatCan,StatCan,1.1,a,
Q7923667,100,Veterans Review and Appeal Board,harmonized_name,2294.0,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),,,Veterans Affairs Canada,Anciens Combattants Canada,VRAB,TACRA,1.1,a,
,0,,,2295.0,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Privy Council Office,Bureau du Conseil privé,SNSICP,SCPSNR,1.1,a,
,0,,,2296.0,Leaders' Debates Commission,Commission des débats des chefs,Leaders' Debates Commission,Commission des débats des chefs,,,Privy Council Office,Bureau du Conseil privé,,,1.1,a,
,0,,,2297.0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Department of Justice Canada,Ministère de la Justice Canada,ATSSC,SCDATA,1.1,a,
,0,,,2298.0,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,Minister of Housing and Infrastructure and Minister responsible for Pacific Economic Development Canada,Ministre du Logement et de l'Infrastructure et ministre responsable de Développement économique Canada pour le Pacifique,PacifiCan,PacifiCan,1.1,a,
,0,,,2299.0,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,Minister of Jobs and Families and Minister responsible for the Federal Economic Development Agency for Northern Ontario,Ministre de l'Emploi et des Familles et ministre responsable de l'Agence fédérale de développement économique pour le Nord de l'Ontario,FedNor,FedNor,1.1,a,
Q532090,100,Canada Border Services Agency,harmonized_name,2300.0,Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,Public Safety Canada,Sécurité publique Canada,CBSA,ASFC,2.0,a,
,0,,,2301.0,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,,,Environment and Climate Change Canada,Environnement et Changement climatique Canada,,,2.0,a,
,0,,,2302.0,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Employment and Social Development Canada,Emploi et Développement social Canada,CEIC,CAEC,2.0,a,
Q1032002,100,Canada Revenue Agency,harmonized_name,2303.0,Canada Revenue Agency,Agence du revenu du Canada,Canada Revenue Agency,Agence du revenu du Canada,,,Canada Revenue Agency,Agence du revenu du Canada,CRA,ARC,2.0,a,
,0,,,2304.0,Canada School of Public Service,École de la fonction publique du Canada,Canada School of Public Service,École de la fonction publique du Canada,Canada School of Public Service,École de la fonction publique du Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,CSPS,EFPC,2.0,a,
Q5029820,100,Canadian Centre for Occupational Health and Safety,harmonized_name,2305.0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,,,Employment and Social Development Canada,Emploi et Développement social Canada,CCOHS,CCHST,2.0,a,
Q2826578,100,Canadian Food Inspection Agency,harmonized_name,2306.0,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Health Canada,Santé Canada,CFIA,ACIA,2.0,a,
Q5030193,100,Canadian Institutes of Health Research,harmonized_name,2307.0,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,,,Health Canada,Santé Canada,CIHR,IRSC,2.0,a,
Q654536,100,Canadian Nuclear Safety Commission,harmonized_name,2308.0,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Natural Resources Canada,Ressources naturelles Canada,CNSC,CCSN,2.0,a,
