Platform,Count,Date,Language
Flickr,12,2024-10-28,Bilingual
Flickr,1,2024-10-28,Bilingue
Flickr,5,2024-10-28,English
Flickr,4,2024-10-28,Français
Instagram,21,2024-10-28,Bilingual
Instagram,1,2024-10-28,Bilingue
Instagram,51,2024-10-28,English
Instagram,51,2024-10-28,Français
Intagram,1,2024-10-28,English
LinkedIn,89,2024-10-28,Bilingual
LinkedIn,3,2024-10-28,Bilingue
LinkedIn,11,2024-10-28,English
LinkedIn,11,2024-10-28,Français
Linkedin,1,2024-10-28,Bilingual
Snapchat,1,2024-10-28,Français
X,27,2024-10-28,Bilingual
X,2,2024-10-28,Bilingue
X,349,2024-10-28,English
X,352,2024-10-28,Français
YouTube,23,2024-10-28,Bilingual
YouTube,3,2024-10-28,Bilingue
YouTube,62,2024-10-28,English
YouTube,58,2024-10-28,Français
Youtube,2,2024-10-28,Bilingual
Youtube,2,2024-10-28,English
Youtube,2,2024-10-28,Français
snapchat,1,2024-10-28,English
x,1,2024-10-28,English
x,1,2024-10-28,Français
Facebook,37,2024-10-29,Bilingual
Facebook,2,2024-10-29,Bilingue
Facebook,323,2024-10-29,English
Facebook,314,2024-10-29,Français
Flickr,12,2024-10-29,Bilingual
Flickr,1,2024-10-29,Bilingue
Flickr,5,2024-10-29,English
Flickr,4,2024-10-29,Français
Instagram,21,2024-10-29,Bilingual
Instagram,1,2024-10-29,Bilingue
Instagram,51,2024-10-29,English
Instagram,51,2024-10-29,Français
Intagram,1,2024-10-29,English
LinkedIn,89,2024-10-29,Bilingual
LinkedIn,3,2024-10-29,Bilingue
LinkedIn,11,2024-10-29,English
LinkedIn,11,2024-10-29,Français
Linkedin,1,2024-10-29,Bilingual
Snapchat,1,2024-10-29,Français
X,27,2024-10-29,Bilingual
X,2,2024-10-29,Bilingue
X,349,2024-10-29,English
X,352,2024-10-29,Français
YouTube,23,2024-10-29,Bilingual
YouTube,3,2024-10-29,Bilingue
YouTube,62,2024-10-29,English
YouTube,58,2024-10-29,Français
Youtube,2,2024-10-29,Bilingual
Youtube,2,2024-10-29,English
Youtube,2,2024-10-29,Français
snapchat,1,2024-10-29,English
x,1,2024-10-29,English
x,1,2024-10-29,Français
Facebook,37,2024-10-30,Bilingual
Facebook,2,2024-10-30,Bilingue
Facebook,323,2024-10-30,English
Facebook,314,2024-10-30,Français
Flickr,12,2024-10-30,Bilingual
Flickr,1,2024-10-30,Bilingue
Flickr,5,2024-10-30,English
Flickr,4,2024-10-30,Français
Instagram,21,2024-10-30,Bilingual
Instagram,1,2024-10-30,Bilingue
Instagram,51,2024-10-30,English
Instagram,51,2024-10-30,Français
Intagram,1,2024-10-30,English
LinkedIn,89,2024-10-30,Bilingual
LinkedIn,3,2024-10-30,Bilingue
LinkedIn,11,2024-10-30,English
LinkedIn,11,2024-10-30,Français
Linkedin,1,2024-10-30,Bilingual
Snapchat,1,2024-10-30,Français
X,27,2024-10-30,Bilingual
X,2,2024-10-30,Bilingue
X,349,2024-10-30,English
X,352,2024-10-30,Français
YouTube,23,2024-10-30,Bilingual
YouTube,3,2024-10-30,Bilingue
YouTube,62,2024-10-30,English
YouTube,58,2024-10-30,Français
Youtube,2,2024-10-30,Bilingual
Youtube,2,2024-10-30,English
Youtube,2,2024-10-30,Français
snapchat,1,2024-10-30,English
x,1,2024-10-30,English
x,1,2024-10-30,Français
Facebook,37,2024-10-31,Bilingual
Facebook,2,2024-10-31,Bilingue
Facebook,323,2024-10-31,English
Facebook,314,2024-10-31,Français
Flickr,12,2024-10-31,Bilingual
Flickr,1,2024-10-31,Bilingue
Flickr,5,2024-10-31,English
Flickr,4,2024-10-31,Français
Instagram,21,2024-10-31,Bilingual
Instagram,1,2024-10-31,Bilingue
Instagram,51,2024-10-31,English
Instagram,51,2024-10-31,Français
Intagram,1,2024-10-31,English
LinkedIn,89,2024-10-31,Bilingual
LinkedIn,3,2024-10-31,Bilingue
LinkedIn,11,2024-10-31,English
LinkedIn,11,2024-10-31,Français
Linkedin,1,2024-10-31,Bilingual
Snapchat,1,2024-10-31,Français
X,27,2024-10-31,Bilingual
X,2,2024-10-31,Bilingue
X,349,2024-10-31,English
X,352,2024-10-31,Français
YouTube,23,2024-10-31,Bilingual
YouTube,3,2024-10-31,Bilingue
YouTube,62,2024-10-31,English
YouTube,58,2024-10-31,Français
Youtube,2,2024-10-31,Bilingual
Youtube,2,2024-10-31,English
Youtube,2,2024-10-31,Français
snapchat,1,2024-10-31,English
x,1,2024-10-31,English
x,1,2024-10-31,Français
Facebook,37,2024-11-01,Bilingual
Facebook,2,2024-11-01,Bilingue
Facebook,323,2024-11-01,English
Facebook,314,2024-11-01,Français
Flickr,12,2024-11-01,Bilingual
Flickr,1,2024-11-01,Bilingue
Flickr,5,2024-11-01,English
Flickr,4,2024-11-01,Français
Instagram,21,2024-11-01,Bilingual
Instagram,1,2024-11-01,Bilingue
Instagram,51,2024-11-01,English
Instagram,51,2024-11-01,Français
Intagram,1,2024-11-01,English
LinkedIn,89,2024-11-01,Bilingual
LinkedIn,3,2024-11-01,Bilingue
LinkedIn,11,2024-11-01,English
LinkedIn,11,2024-11-01,Français
Linkedin,1,2024-11-01,Bilingual
Snapchat,1,2024-11-01,Français
X,27,2024-11-01,Bilingual
X,2,2024-11-01,Bilingue
X,349,2024-11-01,English
X,352,2024-11-01,Français
YouTube,23,2024-11-01,Bilingual
YouTube,3,2024-11-01,Bilingue
YouTube,62,2024-11-01,English
YouTube,58,2024-11-01,Français
Youtube,2,2024-11-01,Bilingual
Youtube,2,2024-11-01,English
Youtube,2,2024-11-01,Français
snapchat,1,2024-11-01,English
x,1,2024-11-01,English
x,1,2024-11-01,Français
Facebook,37,2024-11-02,Bilingual
Facebook,2,2024-11-02,Bilingue
Facebook,323,2024-11-02,English
Facebook,314,2024-11-02,Français
Flickr,12,2024-11-02,Bilingual
Flickr,1,2024-11-02,Bilingue
Flickr,5,2024-11-02,English
Flickr,4,2024-11-02,Français
Instagram,21,2024-11-02,Bilingual
Instagram,1,2024-11-02,Bilingue
Instagram,51,2024-11-02,English
Instagram,51,2024-11-02,Français
Intagram,1,2024-11-02,English
LinkedIn,89,2024-11-02,Bilingual
LinkedIn,3,2024-11-02,Bilingue
LinkedIn,11,2024-11-02,English
LinkedIn,11,2024-11-02,Français
Linkedin,1,2024-11-02,Bilingual
Snapchat,1,2024-11-02,Français
X,27,2024-11-02,Bilingual
X,2,2024-11-02,Bilingue
X,349,2024-11-02,English
X,352,2024-11-02,Français
YouTube,23,2024-11-02,Bilingual
YouTube,3,2024-11-02,Bilingue
YouTube,62,2024-11-02,English
YouTube,58,2024-11-02,Français
Youtube,2,2024-11-02,Bilingual
Youtube,2,2024-11-02,English
Youtube,2,2024-11-02,Français
snapchat,1,2024-11-02,English
x,1,2024-11-02,English
x,1,2024-11-02,Français
Facebook,37,2024-11-03,Bilingual
Facebook,2,2024-11-03,Bilingue
Facebook,323,2024-11-03,English
Facebook,314,2024-11-03,Français
Flickr,12,2024-11-03,Bilingual
Flickr,1,2024-11-03,Bilingue
Flickr,5,2024-11-03,English
Flickr,4,2024-11-03,Français
Instagram,21,2024-11-03,Bilingual
Instagram,1,2024-11-03,Bilingue
Instagram,51,2024-11-03,English
Instagram,51,2024-11-03,Français
Intagram,1,2024-11-03,English
LinkedIn,89,2024-11-03,Bilingual
LinkedIn,3,2024-11-03,Bilingue
LinkedIn,11,2024-11-03,English
LinkedIn,11,2024-11-03,Français
Linkedin,1,2024-11-03,Bilingual
Snapchat,1,2024-11-03,Français
X,27,2024-11-03,Bilingual
X,2,2024-11-03,Bilingue
X,349,2024-11-03,English
X,352,2024-11-03,Français
YouTube,23,2024-11-03,Bilingual
YouTube,3,2024-11-03,Bilingue
YouTube,62,2024-11-03,English
YouTube,58,2024-11-03,Français
Youtube,2,2024-11-03,Bilingual
Youtube,2,2024-11-03,English
Youtube,2,2024-11-03,Français
snapchat,1,2024-11-03,English
x,1,2024-11-03,English
x,1,2024-11-03,Français
Facebook,37,2024-11-04,Bilingual
Facebook,2,2024-11-04,Bilingue
Facebook,323,2024-11-04,English
Facebook,314,2024-11-04,Français
Flickr,12,2024-11-04,Bilingual
Flickr,1,2024-11-04,Bilingue
Flickr,5,2024-11-04,English
Flickr,4,2024-11-04,Français
Instagram,21,2024-11-04,Bilingual
Instagram,1,2024-11-04,Bilingue
Instagram,51,2024-11-04,English
Instagram,51,2024-11-04,Français
Intagram,1,2024-11-04,English
LinkedIn,89,2024-11-04,Bilingual
LinkedIn,3,2024-11-04,Bilingue
LinkedIn,11,2024-11-04,English
LinkedIn,11,2024-11-04,Français
Linkedin,1,2024-11-04,Bilingual
Snapchat,1,2024-11-04,Français
X,27,2024-11-04,Bilingual
X,2,2024-11-04,Bilingue
X,349,2024-11-04,English
X,352,2024-11-04,Français
YouTube,23,2024-11-04,Bilingual
YouTube,3,2024-11-04,Bilingue
YouTube,62,2024-11-04,English
YouTube,58,2024-11-04,Français
Youtube,2,2024-11-04,Bilingual
Youtube,2,2024-11-04,English
Youtube,2,2024-11-04,Français
snapchat,1,2024-11-04,English
x,1,2024-11-04,English
x,1,2024-11-04,Français
Facebook,37,2024-11-05,Bilingual
Facebook,2,2024-11-05,Bilingue
Facebook,323,2024-11-05,English
Facebook,314,2024-11-05,Français
Flickr,12,2024-11-05,Bilingual
Flickr,1,2024-11-05,Bilingue
Flickr,5,2024-11-05,English
Flickr,4,2024-11-05,Français
Instagram,21,2024-11-05,Bilingual
Instagram,1,2024-11-05,Bilingue
Instagram,51,2024-11-05,English
Instagram,51,2024-11-05,Français
Intagram,1,2024-11-05,English
LinkedIn,89,2024-11-05,Bilingual
LinkedIn,3,2024-11-05,Bilingue
LinkedIn,11,2024-11-05,English
LinkedIn,11,2024-11-05,Français
Linkedin,1,2024-11-05,Bilingual
Snapchat,1,2024-11-05,Français
X,27,2024-11-05,Bilingual
X,2,2024-11-05,Bilingue
X,349,2024-11-05,English
X,352,2024-11-05,Français
YouTube,23,2024-11-05,Bilingual
YouTube,3,2024-11-05,Bilingue
YouTube,62,2024-11-05,English
YouTube,58,2024-11-05,Français
Youtube,2,2024-11-05,Bilingual
Youtube,2,2024-11-05,English
Youtube,2,2024-11-05,Français
snapchat,1,2024-11-05,English
x,1,2024-11-05,English
x,1,2024-11-05,Français
Facebook,37,2024-11-06,Bilingual
Facebook,2,2024-11-06,Bilingue
Facebook,323,2024-11-06,English
Facebook,314,2024-11-06,Français
Flickr,12,2024-11-06,Bilingual
Flickr,1,2024-11-06,Bilingue
Flickr,5,2024-11-06,English
Flickr,4,2024-11-06,Français
Instagram,21,2024-11-06,Bilingual
Instagram,1,2024-11-06,Bilingue
Instagram,51,2024-11-06,English
Instagram,51,2024-11-06,Français
Intagram,1,2024-11-06,English
LinkedIn,89,2024-11-06,Bilingual
LinkedIn,3,2024-11-06,Bilingue
LinkedIn,11,2024-11-06,English
LinkedIn,11,2024-11-06,Français
Linkedin,1,2024-11-06,Bilingual
Snapchat,1,2024-11-06,Français
X,27,2024-11-06,Bilingual
X,2,2024-11-06,Bilingue
X,349,2024-11-06,English
X,352,2024-11-06,Français
YouTube,23,2024-11-06,Bilingual
YouTube,3,2024-11-06,Bilingue
YouTube,62,2024-11-06,English
YouTube,58,2024-11-06,Français
Youtube,2,2024-11-06,Bilingual
Youtube,2,2024-11-06,English
Youtube,2,2024-11-06,Français
snapchat,1,2024-11-06,English
x,1,2024-11-06,English
x,1,2024-11-06,Français
Facebook,37,2024-11-07,Bilingual
Facebook,2,2024-11-07,Bilingue
Facebook,323,2024-11-07,English
Facebook,314,2024-11-07,Français
Flickr,12,2024-11-07,Bilingual
Flickr,1,2024-11-07,Bilingue
